
0	1	1022.954000 
1	1	1021.421000 
2	1	996.823000 
3	1	940.448000 
4	1	880.782000 
0	2	1026.940000 
1	2	1025.411000 
2	2	985.251000 
3	2	930.636000 
4	2	879.286000 
0	3	1029.720000 
1	3	1046.154000 
2	3	997.100000 
3	3	964.420000 
4	3	883.385000 
0	4	1060.405000 
1	4	1047.218000 
2	4	998.746000 
3	4	957.130000 
4	4	889.736000 
0	5	1063.116000 
1	5	1082.579000 
2	5	1017.062000 
3	5	982.115000 
4	5	905.413000 
0	6	1082.976000 
1	6	1073.918000 
2	6	1021.058000 
3	6	998.473000 
4	6	948.795000 
0	7	1089.294000 
1	7	1100.827000 
2	7	1040.331000 
3	7	1003.808000 
4	7	907.627000 
0	8	1084.261000 
1	8	1103.362000 
2	8	1011.975000 
3	8	995.785000 
4	8	922.039000 
0	9	1102.867000 
1	9	1111.849000 
2	9	1061.630000 
3	9	1010.695000 
4	9	932.564000 
0	10	1104.928000 
1	10	1112.282000 
2	10	1055.179000 
3	10	1020.320000 
4	10	939.986000 
